Codigo,Acopio,Productosxbulto
ALM12008,#N/D,1
ALM12009,#N/D,1
ALM36020,ALM031,1
FRE06022,#N/D,1
FRE06008,#N/D,1
FRE06007,#N/D,1
FRE06003,#N/D,1
FRE06001,#N/D,1
ALM16010,ALM071,1
ALM29001,#N/D,1
ALM29002,#N/D,1
LIM13003,#N/D,1
ALM24014,FRA033,1
ALM24015,#N/D,1
ALM24016,#N/D,1
ALM24017,#N/D,1
ALM24018,#N/D,1
ALM24023,#N/D,1
ALM25018,#N/D,1
ALM49013,#N/D,1
ALM06004,#N/D,1
ALM06009,#N/D,1
FRE13001,#N/D,1
TIE00006,TIE,1
FRE10023,FRE002,1
ALM26001,#N/D,1
ALM26002,#N/D,1
ALM39001,ALM194,1
ALM14002,ALM075,1
ALM14003,#N/D,1
ALM14015,#N/D,1
ALM14018,#N/D,1
ALM20020,FRA089,1
ALM25100,#N/D,1
CANC-1,#N/D,1
CANC-2,#N/D,1
CANF-1,#N/D,1
CANF-2,#N/D,1
CANF-3,#N/D,1
CANF-4,#N/D,1
CANG-4,#N/D,1
CANG-5,#N/D,1
CANG-6,#N/D,1
CANG-1,#N/D,1
CANG-2,#N/D,1
CANG-3,#N/D,1
CANCYG-9,#N/D,1
CANCYG-1,#N/D,1
CANCYG-2,#N/D,1
CANCYG-3,#N/D,1
CANCYG-4,#N/D,1
CANCYG-5,#N/D,1
CANCYG-6,#N/D,1
CANCYG-7,#N/D,1
CANCYG-8,#N/D,1
CANF-5,#N/D,1
CANF-6,#N/D,1
ALM01001,#N/D,1
ALM01003,#N/D,1
ALM01005,#N/D,1
ALM02001,#N/D,1
ALM02002,#N/D,1
ALM02003,#N/D,1
ALM03001,#N/D,1
ALM06008,#N/D,1
ALM06010,#N/D,1
ALM10002,#N/D,1
ALM14011,#N/D,1
ALM20001,#N/D,1
ALM20002,#N/D,1
ALM27001,#N/D,1
ALM31001,#N/D,1
ALM32001,#N/D,1
ALM33001,#N/D,1
ALM36006,#N/D,1
ALM49008,#N/D,1
BOL0006,#N/D,1
BOL0007,#N/D,1
CAN03001,#N/D,1
CANMAIAC,#N/D,1
CANMAIL,#N/D,1
FRE04008,#N/D,1
FRE06017,#N/D,1
FYV02020,FYV,1
LIM02002,#N/D,1
ALM49019,FRA007,1
FRE14014,#N/D,1
FRE14015,#N/D,1
FRE14016,#N/D,1
TIE00027,TIE,1
TIE00028,TIE,1
TIE00029,TIE,1
FRE04022,FRE052,1
ALM39010,FRA011,12
TIE00030,TIE,1
TIE00031,TIE,1
FRE06023,FRE056,1
FRE04023,FRZ021,1
ALM11002,ALM174,10
FRE10025,#N/D,1
TIE00032,TIE,1
ALM45003,FRA084,1
ALM45004,FRA085,1
ALM45006,ALM104,1
ALM45005,FRA086,1
ALM36027,ALM012,1
ALM36028,ALM013,1
ALM36029,ALM014,1
ALM36030,ALM015,1
FRE11004,FRE045,1
ALM36031,ALM016,1
FRE11005,FRE047,1
FRE11006,#N/D,1
ALM36032,ALM017,1
CAN02016,FYV,1
CAN02017,#N/D,1
TIE00033,TIE,1
TIE00034,TIE,1
TIE00035,TIE,1
CAN02015,FYV,1
ALM14023,ALM072,1
CAN02018,#N/D,1
CAN02014,FYV,1
FRE10026,FRE035,1
ALM49020,FRA073,1
ALM49021,FRA042,1
ALM49022,FRA058,1
ALM49023,FRA043,1
FRE10027,FRE040,1
ALM25045,ALM051,24
ALM25046,ALM097,10
ALM25047,ALM039,1
ALM25048,ALM040,1
ALM25049,ALM052,1
ALM25050,ALM115,12
ALM25051,ALM042,6
ALM25052,ALM106,10
ALM25053,ALM053,1
ALM49024,FRA051,1
ALM49025,FRA052,1
TIE00040,TIE,1
TIE00041,TIE,1
TIE00042,TIE,1
TIE00043,TIE,1
ALM25055,ALM178,1
LIM04003,LIM047,1
FRE10028,FRE041,1
TIE00036,TIE,1
TIE00037,TIE,1
HIP50020,LIM059,1
HIP50021,LIM060,1
ALM25041,FRA090,1
FYV10038,FYV,1
FYV10042,FYV,1
ALM25054,ALM107,10
ALM36033,ALM018,1
ALM31003,ALM158,1
FRE14017,#N/D,1
ALM25056,ALM043,1
ALM25057,ALM045,1
ALM25058,ALM054,1
ALM14024,ALM176,1
ALM11003,ALM153,1
ALM20022,ALM195,1
FRE09004,FRZ011,1
FRE09005,FRZ012,1
FRE09006,#N/D,1
FRE04024,FRZ022,1
ALM25060,ALM141,1
ALM25059,ALM055,1
TIE00038,TIE,1
TIE00039,TIE,1
TIE00044,TIE,1
TIE00045,TIE,1
HIP50012,LIM039,1
HIP50013,LIM040,1
TIE00048,TIE,1
TIE00049,TIE,1
TIE00050,TIE,1
TIE00051,TIE,1
TIE00052,TIE,1
TIE00053,TIE,1
TIE00054,TIE,1
ALM20023,ALM197,1
ALM20024,ALM198,1
ALM20025,ALM199,1
TIE00055,TIE,1
TIE00056,TIE,1
TIE00057,TIE,1
FYV10048,FYV,1
ALM14025,ALM089,1
HIP50022,LIM061,1
FRE06024,FRZ013,1
FRE06026,FRZ014,1
TIE00046,TIE,1
ALM37007,ALM202,1
ALM06025,FRA,1
FRE14018,#N/D,1
ALM36034,ALM019,1
ALM26070,FRA111,1
FYV10053,FYV,1
FYV10052,FYV,1
ALM26071,FRA112,1
ALM49030,FRA114,1
FYV10054,FYV,1
ALM49026,FRA010,10
ALM49027,ALM148,10
HIP50023,LIM091,1
ALM49031,FRA008,12
ALM49032,FRA009,12
ALM49033,ALM145,14
ALM49034,FRA044,1
TIE00060,TIE,1
TIE00061,TIE,1
FRE04025,FRZ002,1
TIE00062,TIE,1
TIE00063,TIE,1
TIE00064,TIE,1
ALM2010,FRA092,1
ALM2011,FRA093,1
ALM2012,FRA094,1
ALM25061,FRA107,1
ALM25062,FRA108,1
FRE11040,#N/D,1
FRE11041,#N/D,1
FRE11042,#N/D,1
ALM20016,ALM177,1
TIE00066,TIE,1
TIE00067,TIE,1
FRE10029,#N/D,1
FRE10030,FRZ006,1
ALM36040,ALM020,6
ALM36041,ALM021,1
ALM36042,PCL,6
FYV10055,FYV,1
FYV10056,FYV,1
TIE00047,TIE,1
ALM25063,FRA037,1
ALM25064,FRA038,1
FYV10016,FYV,1
HIP03009,LIM089,1
ALM39007,PCL,1
FRE04026,FRZ023,1
TIE00065,TIE,1
TIE00068,TIE,1
TIE00069,TIE,1
TIE00070,TIE,1
TIE00071,TIE,1
HIP50014,LIM041,1
TIE00072,TIE,1
TIE00073,TIE,1
TIE00074,TIE,1
TIE00075,TIE,1
TIE00076,TIE,1
TIE00077,TIE,1
TIE00078,TIE,1
TIE00079,TIE,1
TIE00080,TIE,1
TIE00081,TIE,1
ALM36043,PCL,6
ALM25065,ALM142,24
FYV10057,FYV,1
FYV10058,FYV,1
FYV10059,FYV,1
TIE00082,TIE,1
TIE00083,TIE,1
TIE00084,TIE,1
FRE10031,FRZ010,1
TIE00090,TIE,1
TIE00091,TIE,1
TIE00092,TIE,1
ALM20026,PCL,24
TIE00094,TIE,1
TIE00095,TIE,1
TIE00096,TIE,1
ALM20027,ALM127,1
ALM2013,FRA095,1
ALM25042,FRA021,18
FRE06027,FRZ015,1
FYV1236,FYV,1
FRE10032,FRZ007,1
ALM14026,ALM073,1
ALM14027,ALM074,1
ALM39008,ALM151,1
FRE14051,FRE022,1
FRE14052,FRE016,1
ALM39011,ALM152,1
FRE14053,FRE017,1
TIE00085,TIE,1
TIE00086,TIE,1
TIE00087,TIE,1
TIE00088,TIE,1
TIE00093,TIE,1
FYV10060,FYV,1
FYV10061,FYV,1
HIP50024,LIM062,1
TIE00100,TIE,1
HIP50017,LIM043,1
FYV10062,FYV,1
ALM20028,ALM200,1
FYV10012,FYV,1
TIE00120,TIE,1
CAN02019,FYV,1
FYV02024,FYV,1
FYV02025,FYV,1
FYV02026,FYV,1
HIP01025,#N/D,1
ALM39012,PCL,1
TIE00125,TIE,1
FYV02027,FYV,1
ALM25066,ALM143,1
TIE00097,TIE,1
TIE00098,TIE,1
TIE00099,TIE,1
TIE00101,TIE,1
TIE00102,TIE,1
TIE00103,TIE,1
TIE00104,TIE,1
HIP50025,LIM093,1
HIP50026,LIM094,1
TIE00105,TIE,1
TIE00106,TIE,1
TIE00107,TIE,1
